song_id,title,type,duration,genre_id,style_id
1,Breakdown,song,,,
2,I like me moods,song,,,
3,thoughts Weinberg,song,,,
4,Turtle Bop,song,,,
5,Get in Queue,song,,,
6,Paean to Freddie,song,,,
7,FunkGrooveThang,song,,,
8,Drum Solo,song,,,
9,Hard Space,song,,,
10,Blues,song,,,
11,Funk,song,,,
12,Worried 'bout You,song,,,
13,Lost,song,,,
14,You're Fucked (Thomas - drums),song,,,
15,Drum Off,song,,,
16,Drum Intro Funk,song,,,
17,True Blue,song,,,
18,Nighting,song,,,
19,Funk Jam,song,,,
20,Ptak on the High Seas,song,,,
21,Vision,song,,,
22,Junkie,song,,,
23,Deadly,song,,,
24,Welcome Back Nick,song,,,
25,The Other Side,song,,,
26,Oscar,song,,,
27,Standard,song,,,
28,Tribute,loop,,,
29,Blues,loop,,,
30,T-Bar Blues,loop,,,
31,FreeFall,loop,,,
32,Jam #47,loop,,,
33,A Love Supreme,loop,,,
34,Jerk Chicken,loop,,,
35,Insightful Crap,loop,,,
36,Blockhead,loop,,,
37,Fame,loop,,,
38,Gratuity,loop,,,
39,Essence - Movements I,song,,,
40,II,song,,,
41,III,song,,,
42,IV,song,,,
43,Rob's Tasty Bit,song,,,
44,Lithium Trip,song,,,
45,Segue,song,,,
46,She's Got the Itch,loop,,,
47,Fiona Blues I,loop,,,
48,Fiona Blues II,loop,,,
49,Miss Your Face,loop,,,
50,Indulge Us,loop,,,
51,Prologue,loop,,,
52,This Reality,loop,,,
53,Avenue J,loop,,,
54,Positive Camber,song,,,
55,Outro,song,,,
56,A Bit of the Roger in Me,song,,,
57,Intrigue,song,,,
58,Bad Karma,loop,,,
59,I,loop,,,
60,II,loop,,,
61,Balance Beam,loop,,,
62,One Unhappy Norse God,song,,,
63,My Woman Feeling,loop,,,
64,Kickin In',loop,,,
65,Back and There Again,loop,,,
66,Is it Maximus or is it T-Bone?,loop,,,
67,Glad You Could Join Us,loop,,,
68,Hot For Jimi,loop,,,
69,Everything was Going Just Fine..,loop,,,
70,Travail,loop,,,
71,Black Beauty Boots,loop,,,
72,No Collagen,loop,,,
73,Rise and Fall,loop,,,
74,Counting Sheep,loop,,,
75,extra bit,loop,,,
76,This is the End,loop,,,
77,Varigated Stream of Consciousness,loop,,,
78,Gator Bait,loop,,,
79,Shadow Walks Before,loop,,,
80,Into the Sun,loop,,,
81,Bumpkin,loop,,,
82,Byte 2,loop,,,
83,Byte 1,loop,,,
84,Cocktails in Pamplona,loop,,,
85,Places,loop,,,
86,Cabby,loop,,,
87,extra bit,loop,,,
88,Til Dust Do Us Part,loop,,,
89,Bedtime Story,loop,,,
90,Take That Back,loop,,,
91,Monkey Style,loop,,,
92,All the Songs,loop,,,
93,Take My Pill,loop,,,
94,Gravity Makes Me Wanna Drink,loop,,,
95,Flies,loop,,,
96,I Feel Whole,loop,,,
97,Jade,loop,,,
98,My Love,loop,,,
99,Mad Jam - Uprising,loop,,,
100,Odiferous,loop,,,
101,That Ole' Virus Mankind,loop,,,
102,Love I Feel,song,,,
103,Jenny Lopez's Dress,song,,,
104,Willy the Weeper,song,,,
105,In You,song,,,
106,Amidou,song,,,
107,Max and Tbone lead the way,song,,,
108,Hangin' with Me,song,,,
109,Heavy,song,,,
110,that Load,song,,,
111,Boiler Room Groove,song,,,
112,Grind,song,,,
113,Sweet Petootie Pie,song,,,
114,Brothers,song,,,
115,Dweezil's Dad,song,,,
116,Motherland,song,,,
117,Mother's Milk,song,,,
118,You're Dead,song,,,
119,Baby (Jon Benet),song,,,
120,SRC Loco 613,song,,,
121,God Within,song,,,
122,Bright as the Sun,song,,,
123,Sleepy Eyes (SRC's Lead),song,,,
124,Take a Sniff,song,,,
125,Post Jam Interview,song,,,
126,Desperate,song,,,
127,Tractor Pull,song,,,
128,Brain,song,,,
129,So Far Giant,song,,,
130,Mutha Down,song,,,
131,Horror Show,song,,,
132,Hide the Body,loop,,,
133,White of My Belly,song,,,
134,Thy Name is Woman,song,,,
135,Egda,song,,,
136,Lil' House Blues,song,,,
137,Blood Line,song,,,
138,The Real Slim Shady,loop,,,
139,Diggin' It Out,loop,,,
140,political musings outtake,loop,,,
141,School Yard Blues,loop,,,
142,Modern Jazz,song,,,
143,Interlewd,song,,,
144,You're Not There (Max on drums),song,,,
145,Say What,song,,,
146,Bonus? (EnglishNick on drums),song,,,
147,So Sweet,song,,,
148,Blood One Worm,song,,,
149,Out Behind the Wheel,song,,,
150,the ends,song,,,
151,Ocean Groove,song,,,
152,Price of Freedom,loop,,,
153,"Doc Says """"Cough""""",loop,,,
154,Get Yourself Straight,loop,,,
155,Street Dumb Sam,loop,,,
156,Gone,loop,,,
157,Liberty Rust,song,,,
158,No Balls,song,,,
159,Evil on Ya Baby,song,,,
160,Stepping Out,song,,,
161,Version 2.0,song,,,
162,Takin' a Bad Turn,song,,,
163,Exploring,song,,,
164,It's Dead,song,,,
165,Alright,song,,,
166,Constant Ending,song,,,
167,All I Have,song,,,
168,Apparition,song,,,
169,Christmas at My House,song,,,
170,Swallow Me Whole,song,,,
171,Push It Away,song,,,
172,Real Pick Me Up,song,,,
173,Osama,song,,,
174,A Sense of It,song,,,
175,jah is lov,song,,,
176,Fred Schneider Hangover,song,,,
177,Waxy Motherfucker and Monkey's Paw,song,,,
178,no song,song,,,
179,Yah Yah Yah!,song,,,
180,Psilopsychic,song,,,
181,Passing Fancy,song,,,
182,Killing Time,song,,,
183,Nightmood,song,,,
184,Fever,song,,,
185,True Life,song,,,
186,Sunflower,song,,,
187,You Was There,song,,,
188,Double Barrel Sissy,song,,,
189,Lil' Paul,song,,,
190,Nabbed,song,,,
191,Serious Cracker,song,,,
192,What It's All About,song,,,
193,Key of Angst,song,,,
194,Any Way You Slice It,song,,,
195,Trying to Get Us There,song,,,
196,Sidereal Muse,song,,,
197,Flesh Machine,song,,,
198,Fountain of Stillness,song,,,
199,Getting Old,song,,,
200,Hollow Body,song,,,
201,Addict,song,,,
202,20030910 dvd title,song,,,
203,the smackdown *,song,,,
204,straight eye *,song,,,
205,snowball from hell *,song,,,
206,limited respect *,song,,,
207,christmas he died *,song,,,
208,sounding *,song,,,
209,Ourance,song,,,
210,Pchoff,song,,,
211,Maximus,song,,,
212,Snuffler,song,,,
213,SRC,song,,,
214,Stu,song,,,
